embedding_X,embedding_y
6.3476553,5.236121
7.8871717,1.8573669
6.405646,4.6929317
-6.8160295,13.552685
18.769855,-7.854446
7.0797668,2.8093922
6.0775576,5.9783287
6.8924804,18.053408
6.183468,5.0856514
13.264487,-1.5207323
1.3075838,-10.379592
-7.5664725,14.282947
5.430267,6.677932
12.270845,-19.293913
6.4705143,4.943576
5.4174714,6.6415887
6.1166787,-8.974397
-7.745087,13.972397
22.89748,-2.9781249
5.9386735,6.537498
6.004779,6.259279
-9.74513,8.530134
6.741884,3.5905101
15.225663,2.693477
6.074592,5.9918947
22.89751,-2.9788504
18.49686,8.151698
12.052994,-9.868866
12.245774,4.3783464
14.58284,9.368613
7.320895,6.8152733
12.945754,3.67356
12.54596,-10.4828415
1.6322137,-9.044387
-6.3454294,13.147184
15.11826,2.7619398
5.419046,6.655472
14.846318,3.3807476
6.1036944,6.243973
18.74623,8.874183
15.086991,1.9685098
6.528472,1.4307207
7.4163265,8.682608
11.734192,-19.546242
12.880054,-9.683628
12.814524,-9.595455
16.13315,6.891989
5.4165745,6.6469135
12.8238735,3.5886981
11.134475,4.2484374
12.173406,-9.80292
6.5289035,17.303728
-10.325385,4.0067134
-6.930226,-7.247987
5.371218,1.3956021
8.738205,-16.454905
-8.093467,0.7731433
17.184078,9.856279
-7.0089903,-7.3243623
12.288182,-19.27776
3.8211772,-16.50842
13.283888,-1.533861
-3.7837834,15.4802885
6.5501704,-9.263815
3.0126278,17.378197
10.301936,-2.816469
5.399559,6.620153
12.269768,3.9246552
5.4947696,6.6223707
7.2714486,5.094648
6.0831714,5.968516
6.7840867,7.9088707
22.916906,-2.996832
8.966677,-16.610283
22.897404,-2.9776928
-3.5141025,15.700057
7.8336787,1.786874
5.880503,6.547146
7.033896,9.599708
13.136634,-9.484135
22.930504,-3.007072
6.763564,4.6382413
8.941829,-16.559036
15.384725,7.881483
12.084464,-19.835194
5.290013,1.3054575
11.876106,18.668118
12.076559,-9.960628
-7.011553,-7.326743
4.969084,2.1847444
